platform_item_id,market_hash_name,observed_at,sell_price_cny,sell_count,bid_price_cny,bid_count
51448,Glock-18 | Night (Battle-Scarred),2026-04-06 20:42:12.375446,27.18,11,11.6,5
52441,Glock-18 | Night (Factory New),2026-04-06 23:03:59.118314,565.5,19,511.0,5
32904,Glock-18 | Night (Field-Tested),2026-04-06 20:43:17.467436,18.94,166,17.4,12
47217,Glock-18 | Night (Minimal Wear),2026-04-06 23:02:54.090874,260.5,193,247.0,21
51975,Glock-18 | Night (Well-Worn),2026-04-06 20:49:47.578142,25.0,14,10.6,6
44277,Glock-18 | Nuclear Garden (Field-Tested),2026-04-06 17:34:42.048008,10.9,594,10.6,19
2381,Glock-18 | Off World (Factory New),2026-04-06 17:15:41.748570,63.99,576,62.0,47
36940,Glock-18 | Oxide Blaze (Battle-Scarred),2026-04-06 17:38:42.032204,1.14,54,1.0,11
116,Glock-18 | Oxide Blaze (Field-Tested),2026-04-06 17:38:42.032204,1.64,89,1.4,15
50092,Glock-18 | Oxide Blaze (Well-Worn),2026-04-06 17:38:42.032204,2.19,21,1.5,10
55984,Glock-18 | Reactor (Battle-Scarred),2026-04-06 20:34:37.401554,129.86,9,93.0,5
47529,Glock-18 | Reactor (Factory New),2026-04-06 23:13:44.300211,1234.17,203,1200.0,28
1984,Glock-18 | Reactor (Field-Tested),2026-04-06 20:41:07.463657,214.48,54,182.0,7
9568,Glock-18 | Reactor (Minimal Wear),2026-04-06 20:45:27.525679,258.9,101,242.0,13
53608,Glock-18 | Reactor (Well-Worn),2026-04-06 20:46:32.420472,159.4,7,109.0,4
50328,Glock-18 | Royal Legion (Battle-Scarred),2026-04-06 23:23:29.393383,23.29,22,18.4,11
2583,Glock-18 | Royal Legion (Factory New),2026-04-06 23:25:39.157097,580.0,240,571.0,80
612,Glock-18 | Royal Legion (Field-Tested),2026-04-06 23:21:19.247592,19.98,121,18.6,22
44343,Glock-18 | Royal Legion (Minimal Wear),2026-04-06 23:22:24.277255,61.57,239,60.0,19
49485,Glock-18 | Royal Legion (Well-Worn),2026-04-06 23:22:24.277255,17.68,28,16.2,8
629,Glock-18 | Sacrifice (Battle-Scarred),2026-04-06 17:55:42.194836,1.69,41,1.3,10
441,Glock-18 | Sacrifice (Field-Tested),2026-04-06 17:55:42.194836,2.74,202,2.5,14
43969,Glock-18 | Sacrifice (Minimal Wear),2026-04-06 17:55:42.194836,4.19,169,4.0,18
44217,Glock-18 | Sacrifice (Well-Worn),2026-04-06 17:55:42.194836,1.93,31,1.7,11
58354,Glock-18 | Sand Dune (Battle-Scarred),2026-04-06 20:46:32.420472,90.0,3,52.0,1
52009,Glock-18 | Sand Dune (Field-Tested),2026-04-06 20:43:17.467436,69.8,9,51.0,2
52154,Glock-18 | Sand Dune (Minimal Wear),2026-04-06 20:37:52.478664,350.0,10,233.0,6
59477,Glock-18 | Sand Dune (Well-Worn),2026-04-06 23:10:29.160742,88.0,8,38.0,2
50513,Glock-18 | Steel Disruption (Factory New),2026-04-06 20:51:57.523508,437.5,223,430.0,33
57356,Glock-18 | Steel Disruption (Field-Tested),2026-04-06 20:34:37.401554,139.0,6,88.0,6
45959,Glock-18 | Steel Disruption (Minimal Wear),2026-04-06 20:37:52.478664,169.5,107,163.0,16
49327,Glock-18 | Synth Leaf (Factory New),2026-04-06 18:08:42.170030,3288.0,22,3160.0,5
53333,Glock-18 | Synth Leaf (Minimal Wear),2026-04-06 18:08:42.170030,3299.0,3,2650.0,4
45603,Glock-18 | Twilight Galaxy (Factory New),2026-04-06 23:01:49.528441,8199.0,252,8030.0,38
49408,Glock-18 | Twilight Galaxy (Field-Tested),2026-04-06 23:26:44.368006,3498.5,5,1740.0,5
45246,Glock-18 | Twilight Galaxy (Minimal Wear),2026-04-06 20:36:47.340927,2242.5,59,2150.0,5
2160,Glock-18 | Vogue (Field-Tested),2026-04-06 18:15:42.313349,28.58,382,29.1,32
48746,Glock-18 | Warhawk (Battle-Scarred),2026-04-06 17:25:43.152756,2.24,33,1.4,10
44596,Glock-18 | Warhawk (Field-Tested),2026-04-06 17:25:43.152756,3.27,49,2.8,17
45339,Glock-18 | Warhawk (Minimal Wear),2026-04-06 17:25:43.152756,6.17,83,5.8,14
5194,Glock-18 | Warhawk (Well-Worn),2026-04-06 17:25:43.152756,1.9,27,1.6,8
667,Glock-18 | Wasteland Rebel (Factory New),2026-04-06 16:40:41.516340,1014.0,614,1000.0,64
2415,Glock-18 | Wasteland Rebel (Minimal Wear),2026-04-06 16:40:41.516340,813.0,277,784.0,22
56236,Glock-18 | Wasteland Rebel (Well-Worn),2026-04-06 16:51:41.582009,784.0,2,737.0,7
44927,Glock-18 | Water Elemental (Battle-Scarred),2026-04-06 20:45:27.525679,137.28,21,127.0,7
44258,Glock-18 | Water Elemental (Factory New),2026-04-06 20:56:17.623564,300.0,684,296.0,77
2539,Glock-18 | Water Elemental (Field-Tested),2026-04-06 20:38:57.428203,140.49,394,140.0,35
192,Glock-18 | Water Elemental (Minimal Wear),2026-04-06 20:44:22.539544,143.0,561,143.0,40
56534,Glock-18 | Water Elemental (Well-Worn),2026-04-06 20:41:07.463657,144.09,7,131.0,4
1692,Glock-18 | Weasel (Factory New),2026-04-06 16:45:41.462792,406.0,148,400.0,53
1235,Glock-18 | Weasel (Minimal Wear),2026-04-06 16:43:43.443982,14.0,255,13.9,30
10997,Glock-18 | Wraiths (Battle-Scarred),2026-04-06 20:49:47.578142,2.48,37,1.8,11
44346,Glock-18 | Wraiths (Factory New),2026-04-06 20:42:12.375446,136.0,221,130.0,65
44706,Glock-18 | Wraiths (Field-Tested),2026-04-06 20:48:42.679147,2.68,64,2.5,14
3780,Glock-18 | Wraiths (Minimal Wear),2026-04-06 20:44:22.539544,7.43,84,6.8,18
48439,Glock-18 | Wraiths (Well-Worn),2026-04-06 23:03:59.118314,4.81,32,3.2,11
77,Glove Case,2026-04-06 16:54:41.578998,100.49,10000,99.0,336
1592,Guardian 3 Pin,2026-04-06 17:24:41.820862,17.95,45,16.8,12
46315,Guardian Pin,2026-04-06 16:35:44.219580,27.16,32,25.4,5
44879,Half-Life: Alyx Collectible Pins Capsule,2026-04-06 18:12:42.285939,53.22,158,49.0,7
47211,Half-Life: Alyx Patch Pack,2026-04-06 18:12:42.285939,8.9,201,8.0,11
47144,Half-Life: Alyx Sticker Capsule,2026-04-06 18:12:42.285939,5.3,73,4.8,10
44845,Headcrab Glyph Pin,2026-04-06 18:12:42.285939,33.26,27,31.7,11
13183,Health Pin,2026-04-06 18:12:42.285939,160.4,65,150.0,8
153,Horizon Case,2026-04-06 17:25:43.152756,11.99,1995,11.7,49
2769,Howl Pin,2026-04-06 17:24:41.820862,343.96,169,337.0,18
46475,Huntsman Weapon Case,2026-04-06 20:38:57.428203,72.39,485,71.0,37
4371,Hydra Pin,2026-04-06 17:24:41.820862,38.9,57,37.7,13
2569,Inferno 2 Pin,2026-04-06 17:24:41.820862,22.68,56,20.9,10
44863,Inferno Pin,2026-04-06 23:32:09.336617,45.0,28,41.0,13
11211,Italy Pin,2026-04-06 16:34:42.280290,24.19,27,23.0,7
51549,Katowice 2019 Dust II Souvenir Package,2026-04-06 17:44:42.088824,300.0,7,90.0,3
